country,count,points,price
Portugal,4875,88.31671794871795,26.21825641025641
US,54265,88.56638717405326,36.5734635584631
Spain,6573,87.29073482428115,28.215274608245853
Italy,16914,88.61818611800875,39.663769658271256
France,17776,88.73486723672367,41.139120162016205
Germany,2120,89.83632075471698,42.25754716981132
Argentina,3756,86.71033013844516,24.510117145899894
Chile,4416,86.49547101449275,20.786458333333332
Australia,2294,88.59546643417612,35.43766346992153
Austria,2799,90.19078242229368,30.76277241872097
South Africa,1293,87.83139984532096,24.668986852281517
New Zealand,1378,88.30841799709724,26.93178519593614
Israel,489,88.49693251533742,31.768916155419223
Hungary,145,89.1655172413793,40.648275862068964
Greece,461,87.2885032537961,22.364425162689805
Romania,120,86.4,15.241666666666667
Mexico,70,85.25714285714285,26.785714285714285
Canada,254,89.37795275590551,35.71259842519685
Turkey,90,88.08888888888889,24.633333333333333
Czech Republic,12,87.25,24.25
Slovenia,80,88.0125,24.8125
Luxembourg,6,88.66666666666667,23.333333333333332
Croatia,71,87.35211267605634,25.450704225352112
Georgia,84,87.67857142857143,19.321428571428573
Uruguay,109,86.75229357798165,26.40366972477064
England,69,91.55072463768116,51.68115942028985
Lebanon,35,87.68571428571428,30.685714285714287
Serbia,12,87.5,24.5
Brazil,47,84.65957446808511,23.76595744680851
Moldova,59,87.20338983050847,16.74576271186441
Morocco,28,88.57142857142857,19.5
Peru,16,83.5625,18.0625
India,9,90.22222222222223,13.333333333333334
Bulgaria,141,87.93617021276596,14.645390070921986
Cyprus,11,87.18181818181819,16.272727272727273
Armenia,2,87.5,14.5
Switzerland,7,88.57142857142857,85.28571428571429
Bosnia and Herzegovina,2,86.5,12.5
Ukraine,14,84.07142857142857,9.214285714285714
Slovakia,1,87.0,16.0
Macedonia,12,86.83333333333333,15.583333333333334
China,1,89.0,18.0
